N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한미사이언스,"59,300",700,+1.19%,500,"39,145","66,011",2.00,"354,351",138.23,4.73,
60,맥쿼리인프라,"11,150",50,+0.45%,0,"38,918","349,044",18.88,"456,305",N/A,N/A,
61,한국타이어앤테크놀로지,"31,250","1,050",+3.48%,500,"38,711","123,875",38.11,"765,623",13.06,6.03,
62,두산중공업,"15,250",850,-5.28%,"5,000","38,604","253,141",7.64,"14,385,803",-3.00,-14.73,
63,LG이노텍,"162,000","3,500",+2.21%,"5,000","38,341","23,667",33.95,"192,478",16.77,4.73,
64,이마트,"133,000",500,+0.38%,"5,000","37,075","27,876",30.88,"345,176",6.67,2.76,
65,현대건설,"32,650",350,-1.06%,"5,000","36,358","111,356",21.99,"587,075",10.80,6.30,
66,한미약품,"304,500","2,500",+0.83%,"2,500","36,062","11,843",14.69,"72,882",100.03,7.30,
67,현대중공업지주,"227,000","1,000",-0.44%,"5,000","35,863","15,799",18.51,"31,890",-16.01,2.20,
68,더존비즈온,"120,000","4,000",-3.23%,500,"35,607","29,673",45.43,"1,297,619",74.91,18.78,
69,CJ대한통운,"156,000","4,000",-2.50%,"5,000","35,587","22,812",20.88,"59,931",39.37,1.41,
70,삼성중공업,"5,400",90,-1.64%,"5,000","34,020","630,000",15.61,"7,630,251",-1.87,-21.88,
71,현대제철,"25,200",300,-1.18%,"5,000","33,628","133,446",19.18,"712,455",-12.50,0.10,
72,녹십자,"287,000","35,500",+14.12%,"5,000","33,540","11,687",18.60,"1,425,761",561.64,-0.35,
73,대림산업,"96,000",700,-0.72%,"5,000","33,408","34,800",40.66,"384,412",5.40,11.74,
74,삼성카드,"28,800",150,+0.52%,"5,000","33,367","115,859",9.78,"126,895",8.90,5.04,
75,SKC,"88,700","1,400",-1.55%,"5,000","33,293","37,535",8.68,"482,140",32.14,3.86,
76,에스원,"87,200",200,+0.23%,500,"33,135","37,999",55.78,"48,281",22.40,11.32,
77,대한항공,"18,750",50,+0.27%,"5,000","32,664","174,210",11.75,"1,315,926",-2.79,-22.09,
78,롯데지주,"30,250",200,-0.66%,200,"31,735","104,909",11.47,"162,153",-4.56,-5.21,
79,두산퓨얼셀,"56,400","2,900",-4.89%,100,"31,298","55,494",5.03,"9,029,655",85.98,N/A,
80,GS,"33,650",150,+0.45%,"5,000","31,266","92,915",20.89,"277,937",-27.83,6.26,
81,DB손해보험,"44,000",300,+0.69%,500,"31,152","70,800",39.74,"169,363",5.75,6.92,
82,현대차2우B,"83,500","1,100",-1.30%,"5,000","30,465","36,485",62.59,"117,262",12.03,N/A,
83,금호석유,"99,800","11,700",-10.49%,"5,000","30,407","30,468",33.50,"360,222",11.42,11.84,
84,호텔신라,"74,900",500,-0.66%,"5,000","29,397","39,248",21.21,"438,635",-39.61,20.16,
85,쌍용양회,"5,700",60,-1.04%,"1,000","28,720","503,860",2.90,"1,901,893",21.51,7.02,
86,삼성증권,"31,650",500,-1.56%,"5,000","28,263","89,300",24.90,"519,317",8.68,8.15,
87,두산밥캣,"27,750",750,-2.63%,500,"27,819","100,249",22.21,"496,751",15.20,7.05,
88,LG화학우,"357,000","6,500",-1.79%,"5,000","27,449","7,689",54.15,"91,743",61.54,N/A,
89,하이트진로,"38,050","1,350",+3.68%,"5,000","26,686","70,134",10.05,"1,267,481",39.31,-3.86,
90,동서,"26,650","1,600",+6.39%,500,"26,570","99,700",5.99,"406,319",19.31,10.53,
91,TIGER 200,"31,720",400,+1.28%,0,"26,454","83,400",6.91,"1,298,287",N/A,N/A,
92,NH투자증권,"9,330",60,-0.64%,"5,000","26,255","281,409",13.83,"1,289,995",6.11,9.12,
93,GS리테일,"33,000",50,+0.15%,"1,000","25,410","77,000",16.61,"335,149",15.21,6.25,
94,키움증권,"113,000","1,000",-0.88%,"5,000","24,994","22,119",24.63,"116,993",7.58,16.97,
95,대우조선해양,"23,000",400,-1.71%,"5,000","24,657","107,206",9.42,"312,111",-26.53,-1.22,
96,CJ,"82,000",0,0.00%,"5,000","23,925","29,177",19.01,"68,079",15.93,6.24,
97,휠라홀딩스,"38,650","1,000",-2.52%,"1,000","23,481","60,752",45.36,"335,979",11.69,23.81,
98,부광약품,"36,100",200,+0.56%,500,"23,407","64,838",5.12,"1,211,251",839.53,-2.00,
99,일진머티리얼즈,"50,600",800,-1.56%,500,"23,332","46,111",9.06,"398,582",45.79,8.52,
100,한화,"30,950","1,150",-3.58%,"5,000","23,200","74,959",19.48,"1,489,622",16.21,2.09,
101,한국항공우주,"23,700",450,+1.94%,"5,000","23,102","97,475",14.46,"651,779",14.78,15.84,
102,한샘,"98,000","1,200",-1.21%,"1,000","23,063","23,534",24.72,"104,401",44.10,7.32,
103,KODEX 200선물인버스2X,"4,050",115,-2.76%,0,"22,826","563,600",1.30,"134,179,342",N/A,N/A,
104,롯데쇼핑,"80,100","1,300",+1.65%,"5,000","22,659","28,289",11.81,"124,102",-1.67,-8.14,
105,KODEX 레버리지,"15,365",385,+2.57%,0,"22,371","145,600",1.90,"42,155,782",N/A,N/A,
106,삼성엔지니어링,"11,350",100,-0.87%,"5,000","22,246","196,000",30.69,"775,065",8.61,24.62,
107,메리츠증권,"3,275",5,-0.15%,"1,000","22,138","675,962",12.34,"2,333,828",4.46,15.06,
108,한국가스공사,"23,750",50,+0.21%,"5,000","21,924","92,313",8.99,"162,971",-4.91,0.48,
109,제일기획,"19,000",200,+1.06%,200,"21,858","115,041",29.81,"436,345",16.99,15.09,
110,농심,"351,000","8,000",+2.33%,"5,000","21,350","6,083",19.66,"36,036",17.46,3.72,
111,BGF리테일,"123,500","1,000",-0.80%,"1,000","21,346","17,284",32.10,"35,077",16.48,26.46,
112,대웅,"36,200","1,750",-4.61%,500,"21,047","58,142",6.87,"602,425",45.25,10.43,
113,영진약품,"11,500",50,+0.44%,500,"21,033","182,893",4.85,"9,014,484",884.62,4.43,
114,오뚜기,"582,000",0,0.00%,"5,000","20,982","3,605",17.62,"3,235",16.62,7.79,
115,신세계,"211,500","3,000",-1.40%,"5,000","20,823","9,845",28.48,"83,987",-7.79,14.24,
116,한올바이오파마,"39,450","1,900",-4.59%,500,"20,609","52,241",6.74,"1,169,530",95.99,14.90,
117,GS건설,"25,650",250,-0.97%,"5,000","20,545","80,098",28.98,"453,232",5.38,11.79,
118,HMM,"6,220",80,-1.27%,"5,000","20,322","326,726",7.62,"2,567,707",-7.97,-55.46,
119,현대차우,"83,200",200,-0.24%,"5,000","20,265","24,357",55.61,"65,500",11.99,N/A,
120,현대해상,"22,200",200,+0.91%,500,"19,847","89,400",40.04,"195,722",6.52,6.23,
121,씨에스윈드,"112,000","8,500",-7.05%,500,"19,360","17,286",8.80,"818,523",45.85,9.92,
122,LS ELECTRIC,"64,000","6,200",-8.83%,"5,000","19,200","30,000",16.28,"538,379",19.75,7.82,
123,종근당,"172,500",500,+0.29%,"2,500","18,778","10,886",12.83,"437,662",24.75,11.94,
124,LS,"58,000","5,800",-9.09%,"5,000","18,676","32,200",11.01,"1,091,146",-42.93,0.80,
125,현대로템,"16,400",150,+0.92%,"5,000","17,899","109,142",3.72,"6,648,962",-4.92,-37.93,
126,팬오션,"3,340",10,-0.30%,"1,000","17,855","534,569",11.15,"2,203,481",12.10,5.49,
127,KODEX 단기채권,"102,460",5,0.00%,0,"17,604","17,181",3.49,"17,921",N/A,N/A,
128,한솔케미칼,"152,000",500,-0.33%,"5,000","17,169","11,295",31.63,"104,276",16.52,20.88,
129,포스코인터내셔널,"13,800",50,-0.36%,"5,000","17,026","123,375",16.28,"221,344",9.50,7.06,
130,두산인프라코어,"8,030",170,-2.07%,"5,000","16,871","210,103",5.16,"7,646,614",12.19,11.59,
131,OCI,"70,000",0,0.00%,"5,000","16,695","23,849",16.79,"969,499",-2.06,-26.20,
132,BNK금융지주,"5,110",0,0.00%,"5,000","16,655","325,935",47.20,"897,625",3.19,7.07,
133,태영건설,"21,600",0,0.00%,500,"16,502","76,400",7.30,0,25.00,8.38,
134,DB하이텍,"37,050",150,-0.40%,"5,000","16,450","44,399",32.21,"2,286,738",10.15,17.40,
135,효성,"77,300","5,200",-6.30%,"5,000","16,288","21,071",6.10,"426,093",59.65,4.25,
136,현대엘리베이,"41,750",550,+1.33%,"5,000","16,012","38,351",25.54,"327,447",28.85,5.22,
137,HDC현대산업개발,"23,750",700,-2.86%,"5,000","15,653","65,907",9.60,"1,003,773",3.37,20.30,
138,NHN,"79,900","1,500",-1.84%,500,"15,632","19,565",11.56,"280,965",60.85,0.78,
139,한국테크놀로지그룹,"16,550",950,+6.09%,500,"15,395","93,020",6.75,"6,121,029",12.25,4.71,
140,일양약품,"79,200","3,400",-4.12%,"2,500","15,116","19,086",8.52,"640,737",162.96,5.20,
141,LG생활건강우,"708,000","3,000",-0.42%,"5,000","14,866","2,100",87.58,"1,912",16.15,N/A,
142,한화에어로스페이스,"29,200",400,+1.39%,"5,000","14,784","50,630",16.64,"671,976",13.81,5.45,
143,F&F,"94,500",600,-0.63%,500,"14,553","15,400",10.11,"33,980",14.16,25.13,
144,롯데정밀화학,"56,400","3,200",-5.37%,"5,000","14,551","25,800",23.76,"477,082",7.44,11.73,
145,메리츠화재,"12,700",0,0.00%,500,"14,437","113,680",11.82,"198,906",4.11,12.80,
146,만도,"30,450",100,-0.33%,"1,000","14,298","46,957",24.33,"443,619",-34.52,7.55,
147,더블유게임즈,"77,700",300,-0.38%,500,"14,277","18,375",15.40,"141,628",13.53,18.93,
